date,TAN_DF
2022-09-08T07:00:00,0.19
2022-09-08T08:00:00,0.16
2022-09-08T10:00:00,0.16
2022-09-08T12:00:00,0.38
2022-09-08T14:00:00,0.52
2022-09-08T16:00:00,0.64
2022-09-08T18:00:00,0.62
2022-09-08T20:00:00,0.69
2022-09-09T07:00:00,0.2
2022-09-09T08:00:00,0.17
2022-09-09T10:00:00,0.18
2022-09-22T07:00:00,0.33
2022-09-22T08:00:00,0.31
2022-09-22T10:00:00,0.3
2022-09-22T12:00:00,0.55
2022-09-22T14:00:00,0.88
2022-09-22T16:00:00,1.13
2022-09-22T18:00:00,1.23
2022-09-22T20:00:00,1.18
2022-09-23T07:00:00,0.34
2022-09-23T08:00:00,0.27
2022-09-23T10:00:00,0.26
2022-10-06T07:00:00,0.33
2022-10-06T08:00:00,0.29
2022-10-06T10:00:00,0.27
2022-10-06T12:00:00,0.56
2022-10-06T14:00:00,0.82
2022-10-06T16:00:00,1.07
2022-10-06T18:00:00,1.11
2022-10-06T20:00:00,1.16
2022-10-07T07:00:00,0.38
2022-10-07T08:00:00,0.29
2022-10-07T10:00:00,0.28
2022-10-20T07:00:00,0.26
2022-10-20T08:00:00,0.225
2022-10-20T10:00:00,0.245
2022-10-20T12:00:00,0.535
2022-10-20T14:00:00,0.72
2022-10-20T16:00:00,0.92
2022-10-20T18:00:00,1.01
2022-10-20T20:00:00,1.13
2022-10-21T07:00:00,0.26
2022-10-21T08:00:00,0.22
2022-10-21T10:00:00,0.26
2022-11-03T07:00:00,0.215
2022-11-03T08:00:00,0.225
2022-11-03T10:00:00,0.375
2022-11-03T12:00:00,0.57
2022-11-03T14:00:00,0.775
2022-11-03T16:00:00,0.87
2022-11-03T18:00:00,0.9
2022-11-03T20:00:00,0.945
2022-11-04T07:00:00,0.185
2022-11-04T08:00:00,0.18
2022-11-04T10:00:00,0.35
2022-11-17T07:00:00,0.165
2022-11-17T08:00:00,0.175
2022-11-17T10:00:00,0.285
2022-11-17T12:00:00,0.5
2022-11-17T14:00:00,0.69
2022-11-17T16:00:00,0.835
2022-11-17T18:00:00,0.865
2022-11-17T20:00:00,0.87
2022-11-18T07:00:00,0.13
2022-11-18T08:00:00,0.115
2022-11-18T10:00:00,0.18
2022-12-01T07:00:00,0.285
2022-12-01T08:00:00,0.245
2022-12-01T10:00:00,0.45
2022-12-01T12:00:00,0.805
2022-12-01T14:00:00,1.085
2022-12-01T16:00:00,1.23
2022-12-01T18:00:00,1.275
2022-12-01T20:00:00,1.36
2022-12-02T07:00:00,0.3
2022-12-02T08:00:00,0.285
2022-12-02T10:00:00,0.49
2022-12-15T07:00:00,0.365
2022-12-15T08:00:00,0.36
2022-12-15T10:00:00,0.54
2022-12-15T12:00:00,0.795
2022-12-15T14:00:00,1.11
2022-12-15T16:00:00,1.36
2022-12-15T18:00:00,1.48
2022-12-15T20:00:00,1.585
2022-12-16T07:00:00,0.335
2022-12-16T08:00:00,0.375
2022-12-16T10:00:00,0.51
2023-01-12T07:00:00,0.225
2023-01-12T08:00:00,0.225
2023-01-12T10:00:00,0.315
2023-01-12T12:00:00,0.57
2023-01-12T14:00:00,0.8
2023-01-12T16:00:00,0.865
2023-01-12T18:00:00,1.025
2023-01-12T20:00:00,1.12
2023-01-13T07:00:00,0.24
2023-01-13T08:00:00,0.245
2023-01-13T10:00:00,0.37
